scenario,seed,orders,mean_total_time,p95_total_time,mean_processing_time,mean_courier_wait,express_wait_over_6,picker_utilisation,packer_utilisation,mean_pick_queue,empty_courier_fraction,completed_after_close,drain_duration
fifo_picking,2028,4040,22.309596357604153,40.84661375704218,12.234237694704035,10.075358662900118,0.14397649363369247,0.8019756830126786,0.817366806274513,1.970256391841459,0,35,20.0
fifo_picking,2029,4163,24.63238471988075,49.07243915266099,14.54838687637396,10.083997843506792,0.26239669421487605,0.8345485752362586,0.8505689917753719,3.8104433551734975,0,23,20.0
fifo_picking,2030,4071,22.48646683593315,40.26834913528819,12.611701824276356,9.874765011656795,0.1762414800389484,0.8095829306425714,0.8278300470043547,2.4599021492982756,0,20,20.0
fifo_picking,2031,3915,21.043115961608677,36.38594995079552,10.980104002514766,10.063011959093911,0.18004338394793926,0.7734352161207853,0.7849340550305431,2.3122433196063787,0,15,20.0
fifo_picking,2032,3983,21.87818616631043,39.97536797772864,11.884945979868608,9.993240186441824,0.15879396984924624,0.7916827704088889,0.8053411103367113,2.241484466614767,0,16,0.0
fifo_picking,2033,3976,21.042026684558355,36.16874248865497,11.17826784246484,9.863758842093516,0.15510597302504817,0.7955912069344536,0.8010723354631069,2.2068266838316255,0,24,20.0
fifo_picking,2034,4069,24.29395289404908,44.141644573730446,14.25729314089757,10.036659753151511,0.281431334622824,0.8158942406691901,0.8202285403614318,3.7798548028753904,0,29,20.0
fifo_picking,2035,3982,22.78853631585071,42.50328522846394,12.908874721555348,9.879661594295362,0.23824451410658307,0.8041711653807535,0.8057207076317789,2.8036832682968233,0,37,20.0
fifo_picking,2036,3991,20.63727164755884,35.4704360085243,10.565840245488907,10.071431402069933,0.14241486068111456,0.7848757148777634,0.7930543283643153,2.189673867319917,0,19,20.0
fifo_picking,2037,4012,22.01395799354773,37.53977023830339,12.054116578953789,9.959841414593942,0.22170686456400743,0.804834364099577,0.7943648233508266,2.6991856927718723,0,14,20.0
fifo_picking,2038,4097,24.8206723000495,43.69216700639936,14.710803610763541,10.109868689285959,0.20057306590257878,0.8201062673287537,0.85060469701,2.6295873802377447,0,22,20.0
fifo_picking,2039,3956,22.71370801671426,40.8256363901628,12.746937520417188,9.966770496297073,0.20456802383316783,0.8078509344233272,0.7996360026380349,2.773063559229743,0,20,20.0
fifo_picking,2040,3966,22.10214631192877,40.193797343222286,11.972514617909638,10.129631694019132,0.2074898785425101,0.8088749468415095,0.7986514867357642,2.5391831856277878,0,30,20.0
fifo_picking,2041,3972,21.604697756916458,37.512634724364034,11.686325180117352,9.918372576799106,0.18791946308724833,0.7808400891667698,0.7967992641014794,2.4121361302385185,0,33,20.0
fifo_picking,2042,3959,20.76045907186864,36.21325874640206,10.904198916923724,9.85626015494492,0.16118769883351008,0.790513022303142,0.7840077765127155,2.117937879281717,0,24,20.0
fifo_picking,2043,4033,22.642071553097377,41.68718269002534,12.63658144476663,10.005490108330749,0.1833839918946302,0.7967936720734429,0.8390807352333617,2.3543665105630587,0,25,20.0
fifo_picking,2044,4063,21.251058873179606,36.86841631134689,11.093210809019135,10.15784806416047,0.16851664984863773,0.7937608632902802,0.8199623107481522,2.3197134329122817,0,18,20.0
